Seed, Diametar, Diameter Gap, ASPL, ASPL Gap, switches, computing-time(sec.)
"=INDEX(A4:A33,MATCH(D2,D4:D33,0))","=INDEX(B4:B33,MATCH(D2,D4:D33,0))","=INDEX(C4:C33,MATCH(D2,D4:D33,0))",=MIN(D4:D33),"=INDEX(E4:E33,MATCH(D2,D4:D33,0))","=INDEX(F4:F33,MATCH(D2,D4:D33,0))","=INDEX(G4:G33,MATCH(D2,D4:D33,0))", BEST
=AVERAGE(A4:A33),=AVERAGE(B4:B33),=AVERAGE(C4:C33),=AVERAGE(D4:D33),=AVERAGE(E4:E33),=AVERAGE(F4:F33),=AVERAGE(G4:G33),AVERAGE
0, 5, 1, 4.06645687, 0.3422381196, 153, 571.907
1, 5, 1, 4.065710383, 0.3414916325, 155, 645.297
2, 5, 1, 4.067614413, 0.3433956626, 153, 787.047
3, 5, 1, 4.066282445, 0.3420636954, 153, 772.328
4, 5, 1, 4.066314159, 0.3420954089, 151, 830.202
5, 5, 1, 4.063003757, 0.3387850068, 153, 811.766
6, 5, 1, 4.066658128, 0.3424393784, 155, 840.39
7, 5, 1, 4.067743706, 0.3435249561, 153, 824.578
8, 5, 1, 4.065926278, 0.3417075283, 155, 830.202
9, 5, 1, 4.065834797, 0.341616047, 155, 837.484
10, 5, 1, 4.067050888, 0.342832138, 155, 835.313
11, 5, 1, 4.065311524, 0.3410927742, 157, 816.375
12, 5, 1, 4.066078747, 0.3418599971, 155, 786.626
13, 5, 1, 4.06758026, 0.3433615096, 155, 798.64
14, 5, 1, 4.065273712, 0.3410549619, 153, 764.751
15, 5, 1, 4.067375342, 0.3431565915, 155, 580.796
16, 5, 1, 4.067832748, 0.3436139979, 153, 648.328
17, 5, 1, 4.066215359, 0.3419966091, 153, 778.61
18, 5, 1, 4.06772663, 0.3435078796, 153, 809.781
19, 5, 1, 4.064175937, 0.3399571868, 157, 820.125
20, 5, 1, 4.066667886, 0.3424491364, 151, 804.579
21, 5, 1, 4.067654664, 0.3434359143, 155, 810.516
22, 5, 1, 4.066214139, 0.3419953893, 153, 796.234
23, 5, 1, 4.069378171, 0.3451594214, 153, 830.406
24, 5, 1, 4.066739852, 0.3425211017, 151, 816.375
25, 5, 1, 4.068315769, 0.3440970189, 153, 820.561
26, 5, 1, 4.067028932, 0.3428101825, 151, 777.5
27, 5, 1, 4.065689647, 0.3414708968, 153, 796.923
28, 5, 1, 4.066519077, 0.3423003269, 153, 800.141
29, 5, 1, 4.062789081, 0.3385703308, 156, 683.672
