Seed, Diametar, Diameter Gap, ASPL, ASPL Gap, switches, computing-time(sec.)
"=INDEX(A4:A33,MATCH(D2,D4:D33,0))","=INDEX(B4:B33,MATCH(D2,D4:D33,0))","=INDEX(C4:C33,MATCH(D2,D4:D33,0))",=MIN(D4:D33),"=INDEX(E4:E33,MATCH(D2,D4:D33,0))","=INDEX(F4:F33,MATCH(D2,D4:D33,0))","=INDEX(G4:G33,MATCH(D2,D4:D33,0))", BEST
=AVERAGE(A4:A33),=AVERAGE(B4:B33),=AVERAGE(C4:C33),=AVERAGE(D4:D33),=AVERAGE(E4:E33),=AVERAGE(F4:F33),=AVERAGE(G4:G33),AVERAGE
0, 5, 1, 4.148451116, 0.3419230823, 328, 4301.86
1, 5, 1, 4.14742453, 0.3408964963, 331, 4419.188
2, 5, 1, 4.146352503, 0.339824469, 328, 4316.376
3, 5, 1, 4.147482717, 0.3409546834, 331, 3894.421
4, 5, 1, 4.146555465, 0.340027431, 326, 3836.811
5, 5, 1, 4.147697871, 0.3411698369, 327, 3915.735
6, 5, 1, 4.14790485, 0.3413768166, 334, 3965.812
7, 5, 1, 4.14679417, 0.3402661365, 330, 3229.203
8, 5, 1, 4.147486042, 0.3409580083, 338, 3422.579
9, 5, 1, 4.147770743, 0.3412427093, 330, 3348.265
10, 5, 1, 4.147641069, 0.3411130353, 331, 3295.266
11, 5, 1, 4.148667516, 0.3421394827, 326, 3332.703
12, 5, 1, 4.147480362, 0.3409523282, 330, 3443.468
13, 5, 1, 4.146546044, 0.3400180103, 332, 3342.313
14, 5, 1, 4.146666436, 0.3401384021, 330, 3290.281
15, 5, 1, 4.147620426, 0.3410923927, 329, 4372.266
16, 5, 1, 4.147295133, 0.3407670994, 333, 4534.687
17, 5, 1, 4.14747579, 0.3409477563, 331, 4284.25
18, 5, 1, 4.147280725, 0.3407526912, 334, 3882.468
19, 5, 1, 4.148569568, 0.3420415345, 331, 3919.86
20, 5, 1, 4.147305801, 0.340777767, 331, 3969.077
21, 5, 1, 4.147794433, 0.3412663997, 329, 3831.609
22, 5, 1, 4.14834444, 0.341816406, 325, 3194.516
23, 5, 1, 4.147378257, 0.3408502237, 322, 3304.141
24, 5, 1, 4.146082626, 0.3395545919, 329, 3334.578
25, 5, 1, 4.147923276, 0.3413952425, 330, 3325.406
26, 5, 1, 4.14667932, 0.3401512863, 330, 3327.906
27, 5, 1, 4.147970934, 0.3414429005, 329, 3329.516
28, 5, 1, 4.148159765, 0.3416317313, 334, 3398.046
29, 5, 1, 4.146524986, 0.3399969521, 332, 3276.5
